season,seed,region,market,name,alias,team_id,school_ncaa,code_nccaa
1985,9,Z,Dayton,Flyers,DAY,632616c5-2dbb-4017-a449-c9dfc303f026,Dayton,175
1985,9,Y,Illinois State,Redbirds,ILST,509aacc4-c121-46a2-800a-d5431ef181d2,Illinois St.,299
1985,9,W,Virginia Tech,Hokies,VT,324ccccc-575b-4b82-acb0-fbb8e68da13b,Virginia Tech,742
1985,10,X,Arizona,Wildcats,ARIZ,9b166a3f-e64b-4825-bb6b-92c6f0418263,Arizona,29
1985,10,W,DePaul,Blue Demons,DEP,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,DePaul,176
1985,10,Y,Michigan State,Spartans,MSU,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Michigan St.,416
1985,10,Z,Oregon State,Beavers,ORST,532d3874-b4b3-4c5c-acc6-749a6db26c8f,Oregon St.,528
1985,11,Z,Auburn,Tigers,AUB,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,Auburn,37
1985,11,Y,Boston College,Eagles,BC,4b3ff02c-e0ba-435b-a565-6075bc491684,Boston College,67
1985,11,X,UTEP,Miners,UTEP,06d15d35-4955-4fdd-83d9-32d24dbd795b,UTEP,704
1985,11,W,Wichita State,Shockers,WICH,f38b58de-3273-4723-a78b-2f918e9aa2d5,Wichita St.,782
1985,12,Z,Miami (OH),RedHawks,M-OH,1165ca31-f181-4206-b727-c4e897e4b5cd,Miami (OH),414
1985,12,W,Old Dominion,Monarchs,ODU,ce967953-5c50-4220-87b2-99acb9606e84,Old Dominion,523
1985,12,Y,Pittsburgh,Panthers,PITT,24051034-96bb-4f78-a3a6-312f3258780f,Pittsburgh,545
1985,12,X,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334
1985,13,W,Iona,Gaels,IONA,255c2a87-40c0-4989-bbb9-d286aac5d28e,Iona,310
1985,13,Y,Iowa State,Cyclones,ISU,0e4258fa-3154-4c16-b693-adecab184c6c,Iowa St.,311
1985,13,Z,Navy,Midshipmen,NAVY,3b088563-ca8a-49a6-9e19-5e4cb186ae1d,Navy,726
1985,13,X,San Diego State,Aztecs,SDSU,e6914f16-ca37-4d2e-ba26-a425910283e2,San Diego St.,626
1985,14,W,Northeastern,Huskies,NE,93df9b18-e9fc-42a7-bb45-a736c203b4dc,Northeastern,500
1985,14,X,Nevada,Wolf Pack,NEV,62a73b4a-e281-4483-a1f8-f1160a18e456,Nevada,466
1985,14,Z,Ohio,Bobcats,OHIO,327f09e2-e75f-4014-8ef7-caf9202cd583,Ohio,519
1985,14,Y,Pepperdine,Waves,PEPP,17479d6f-c8f1-458b-9412-8c76279a2bb4,Pepperdine,541
1985,15,W,Mercer,Bears,MER,a14b0057-8eb5-43d2-a33b-666196da933e,Mercer,406
1985,15,X,Marshall,Thundering Herd,MRSH,58d8baa3-7624-4b21-a47f-a23df2bf8859,Marshall,388
1985,15,Z,Middle Tennessee,Blue Raiders,MTU,3d2f0819-8f3b-4ff3-afd6-6227c469a751,Middle Tenn.,419
1985,15,Y,Pennsylvania,Quakers,PENN,e6c94452-1adf-4fb9-90e5-10f165c57c5a,Penn,540
1985,16,Z,Fairleigh Dickinson,Knights,FDU,b71d5a1b-2671-4e5a-b94b-06bfb22a27dd,Fairleigh Dickinson,222
1985,16,W,Lehigh,Mountain Hawks,LEH,508f503f-dc57-4f4c-a01e-4f195e5c05c8,Lehigh,352
1985,16,Y,North Carolina A&T,Aggies,NCAT,53aaac6a-796e-41a6-a04e-6ce74c5717f8,N.C. A&T,488
1985,16,X,Southern University,Jaguars,SOU,a3b13d27-ec14-4a7d-88a2-0bc9f7b58984,Southern U.,665
1986,1,W,Duke,Blue Devils,DUKE,faeb1160-5d15-4f26-99fc-c441cf21fc7f,Duke,193
1986,1,X,Kansas,Jayhawks,KU,fae4855b-1b64-4b40-a632-9ed345e1e952,Kansas,328
1986,1,Z,St. John's,Red Storm,SJU,c1f4aae1-aa16-4095-aeab-10e5c2a1236a,St. John's (NY),603
1986,1,Y,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334
1986,2,Y,Georgia Tech,Yellow Jackets,GT,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,Georgia Tech,255
1986,2,Z,Louisville,Cardinals,LOU,b795ddbc-baab-4499-8803-52e8608520ab,Louisville,367
1986,2,X,Michigan,Wolverines,MICH,bdc2561d-f603-4fab-a262-f1d2af462277,Michigan,418
1986,2,W,Syracuse,Orange,SYR,8cd24de1-2be8-4b77-bcfa-47be0495a5f4,Syracuse,688
1986,3,W,Indiana,Hoosiers,IND,c3f0a8ce-af67-497f-a750-3b859376b20a,Indiana,306
1986,3,Y,Memphis,Tigers,MEM,1551b3a0-6d10-4ffa-8dfa-73b56f004553,Memphis,404
1986,3,X,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513
1986,3,Z,North Carolina,Tar Heels,UNC,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,North Carolina,457
1986,4,X,Georgetown,Hoyas,GTWN,8736b67f-5924-400b-bf94-3bd804c36600,Georgetown,251
1986,4,Y,Illinois,Fighting Illini,ILL,150148c2-ca8f-414f-8f41-d94a55d4a122,Illinois,301
1986,4,W,Oklahoma,Sooners,OKLA,b2fda957-e15c-4fb2-8a13-6e58496f561e,Oklahoma,522
1986,4,Z,UNLV,Rebels,UNLV,68a3227f-677f-43b0-9a3a-cad79d0df9e2,UNLV,465
1986,5,Y,Alabama,Crimson Tide,ALA,c2104cdc-c83d-40d2-a3cd-df986e29f5d3,Alabama,8
1986,5,Z,Maryland,Terrapins,MD,2778d005-cc14-4e58-9bf2-3fc37bffb62f,Maryland,392
1986,5,X,Michigan State,Spartans,MSU,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Michigan St.,416
1986,5,W,Virginia,Cavaliers,UVA,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Virginia,746
1986,6,W,Saint Joseph's (PA),Hawks,JOES,f9e4261e-d11d-46c4-bd33-c7bbc94ef0e8,Saint Joseph's,606
1986,6,X,North Carolina State,Wolfpack,NCST,52df1e19-b142-4a76-a439-ad68455d0581,NC State,490
1986,6,Y,Purdue,Boilermakers,PUR,12d7f888-675b-459f-9099-a38f771d8a95,Purdue,559
1986,6,Z,UAB,Blazers,UAB,63a8fdcf-b51b-4de3-8a57-2a6e41d362ce,UAB,9
1986,7,Z,Bradley,Braves,BRAD,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Bradley,72
1986,7,X,Iowa State,Cyclones,ISU,0e4258fa-3154-4c16-b693-adecab184c6c,Iowa St.,311
1986,7,W,Navy,Midshipmen,NAVY,3b088563-ca8a-49a6-9e19-5e4cb186ae1d,Navy,726
1986,7,Y,Virginia Tech,Hokies,VT,324ccccc-575b-4b82-acb0-fbb8e68da13b,Virginia Tech,742
1986,8,Z,Auburn,Tigers,AUB,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,Auburn,37
1986,8,X,Jacksonville,Dolphins,JAC,fb28bd56-9e56-40c1-992d-71c1e27fe4fd,Jacksonville,316
1986,8,W,Old Dominion,Monarchs,ODU,ce967953-5c50-4220-87b2-99acb9606e84,Old Dominion,523
1986,8,Y,Western Kentucky,Hilltoppers,WKU,881380da-861c-4ab6-a7d2-20699d8ea883,Western Ky.,772
1986,9,Z,Arizona,Wildcats,ARIZ,9b166a3f-e64b-4825-bb6b-92c6f0418263,Arizona,29
1986,9,Y,Nebraska,Cornhuskers,NEB,f8b1bf00-5b73-4ac4-98c0-ec554027ae32,Nebraska,463
1986,9,X,Temple,Owls,TEM,8598d1b6-106b-4083-a512-2e495729525a,Temple,690
1986,9,W,West Virginia,Mountaineers,WVU,f770d3a2-221c-49ce-9c7a-680f7417fe9e,West Virginia,768
1986,10,X,Miami (OH),RedHawks,M-OH,1165ca31-f181-4206-b727-c4e897e4b5cd,Miami (OH),414
1986,10,W,Tulsa,Golden Hurricane,TLSA,2959bd24-7007-41ae-a3a3-abdf26888cfc,Tulsa,719
1986,10,Z,UTEP,Miners,UTEP,06d15d35-4955-4fdd-83d9-32d24dbd795b,UTEP,704
1986,10,Y,Villanova,Wildcats,VILL,4383eb6a-7fd8-4ff2-94c5-43c933121e88,Villanova,739
1986,11,X,Iowa,Hawkeyes,IOWA,c10544de-e3bd-4776-ba2e-83df8c017fd1,Iowa,312
1986,11,Y,LSU,Tigers,LSU,70e2bedd-3a0a-479c-ac99-e3f58aa6824b,LSU,365
1986,11,Z,Missouri,Tigers,MIZZ,77ca152a-cb2f-48a5-97b2-492351250d94,Missouri,434
1986,11,W,Richmond,Spiders,RICH,9b66e1e0-aace-4671-9be2-54c8acf5ecfc,Richmond,575
1986,12,W,DePaul,Blue Demons,DEP,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,DePaul,176
1986,12,Z,Pepperdine,Waves,PEPP,17479d6f-c8f1-458b-9412-8c76279a2bb4,Pepperdine,541
1986,12,X,Washington,Huskies,WASH,e52c9644-717a-46f4-bf16-aeca000b3b44,Washington,756
1986,12,Y,Xavier,Musketeers,XAV,0d8a328f-20ce-410b-bed1-15fc01308aaf,Xavier,812
1986,13,Y,Fairfield,Stags,FAIR,a381465b-4530-4a00-a50c-5253cd7695a0,Fairfield,220
1986,13,W,Northeastern,Huskies,NE,93df9b18-e9fc-42a7-bb45-a736c203b4dc,Northeastern,500
1986,13,X,Texas Tech,Red Raiders,TTU,f8c705b7-87d3-411a-9c8b-5124daab0469,Texas Tech,700
1986,13,Z,Louisiana-Monroe,Warhawks,ULM,18585f21-1d63-4400-974c-433fd5073c34,La.-Monroe,498
1986,14,Y,Ball State,Cardinals,BALL,315c4deb-3c9d-413d-a369-7168f2545d21,Ball St.,47
1986,14,W,Cleveland State,Vikings,CLEV,e30c0417-b220-424e-886e-dd1249e2ca5a,Cleveland St.,148
1986,14,X,Arkansas-Little Rock,Trojans,UALR,0dadedb0-2bd3-45e7-91a3-93af6c4e87f2,Little Rock,32
1986,14,Z,Utah,Utes,UTAH,0d037a5d-827a-44dd-8b70-57603d671d5d,Utah,732
1986,15,X,Akron,Zips,AKR,56fe0ab2-e4f0-47b9-8726-9ce23ebcde20,Akron,5
1986,15,W,Brown,Bears,BRWN,558abf02-97f4-4323-aa99-63c076d35932,Brown,80
1986,15,Z,Drexel,Dragons,DREX,f2d01b77-0f5d-4574-9e49-2a3eaf822e44,Drexel,191
1986,15,Y,Marist,Red Foxes,MRST,15d31915-fbd6-4ae3-8e4b-f3b563c56a18,Marist,386
1986,16,Y,Davidson,Wildcats,DAV,2920c5fa-1e86-4958-a7c4-1e97b8e201d8,Davidson,173
1986,16,Z,Montana State,Bobcats,MTST,bec40585-b587-4548-93f5-b7c00b046aea,Montana St.,440
1986,16,W,Mississippi Valley State,Delta Devils,MVSU,5873529e-e5e3-4a06-8a03-fa4cbe509880,Mississippi Val.,432
1986,16,X,North Carolina A&T,Aggies,NCAT,53aaac6a-796e-41a6-a04e-6ce74c5717f8,N.C. A&T,488
1987,1,X,Georgetown,Hoyas,GTWN,8736b67f-5924-400b-bf94-3bd804c36600,Georgetown,251
1987,1,Y,Indiana,Hoosiers,IND,c3f0a8ce-af67-497f-a750-3b859376b20a,Indiana,306
1987,1,W,North Carolina,Tar Heels,UNC,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,North Carolina,457
1987,1,Z,UNLV,Rebels,UNLV,68a3227f-677f-43b0-9a3a-cad79d0df9e2,UNLV,465
1987,2,X,Alabama,Crimson Tide,ALA,c2104cdc-c83d-40d2-a3cd-df986e29f5d3,Alabama,8
1987,2,Z,Iowa,Hawkeyes,IOWA,c10544de-e3bd-4776-ba2e-83df8c017fd1,Iowa,312
1987,2,W,Syracuse,Orange,SYR,8cd24de1-2be8-4b77-bcfa-47be0495a5f4,Syracuse,688
1987,2,Y,Temple,Owls,TEM,8598d1b6-106b-4083-a512-2e495729525a,Temple,690
1987,3,Y,DePaul,Blue Demons,DEP,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,DePaul,176
1987,3,X,Illinois,Fighting Illini,ILL,150148c2-ca8f-414f-8f41-d94a55d4a122,Illinois,301
1987,3,Z,Pittsburgh,Panthers,PITT,24051034-96bb-4f78-a3a6-312f3258780f,Pittsburgh,545
1987,3,W,Purdue,Boilermakers,PUR,12d7f888-675b-459f-9099-a38f771d8a95,Purdue,559
1987,4,X,Clemson,Tigers,CLEM,dcf5c2e7-c227-4c20-af26-715d5f859412,Clemson,147
1987,4,Y,Missouri,Tigers,MIZZ,77ca152a-cb2f-48a5-97b2-492351250d94,Missouri,434
1987,4,W,TCU,Horned Frogs,TCU,f7fcbb6e-4a55-41ea-ba21-f763ed914467,TCU,698
1987,4,Z,UCLA,Bruins,UCLA,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,UCLA,110
1987,5,Y,Duke,Blue Devils,DUKE,faeb1160-5d15-4f26-99fc-c441cf21fc7f,Duke,193
1987,5,X,Kansas,Jayhawks,KU,fae4855b-1b64-4b40-a632-9ed345e1e952,Kansas,328
1987,5,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513
1987,5,Z,Virginia,Cavaliers,UVA,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Virginia,746
1987,6,W,Florida,Gators,FLA,912f8837-1d81-4ef9-a576-a21f271d4c64,Florida,235
1987,6,Z,Oklahoma,Sooners,OKLA,b2fda957-e15c-4fb2-8a13-6e58496f561e,Oklahoma,522
1987,6,X,Providence,Friars,PROV,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc,Providence,556
1987,6,Y,St. John's,Red Storm,SJU,c1f4aae1-aa16-4095-aeab-10e5c2a1236a,St. John's (NY),603
1987,7,Y,Georgia Tech,Yellow Jackets,GT,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,Georgia Tech,255
1987,7,X,New Orleans,Privateers,UNO,e7ff6d5c-07e9-42af-955d-0a0b8c1e2288,New Orleans,474
1987,7,Z,UTEP,Miners,UTEP,06d15d35-4955-4fdd-83d9-32d24dbd795b,UTEP,704
1987,7,W,West Virginia,Mountaineers,WVU,f770d3a2-221c-49ce-9c7a-680f7417fe9e,West Virginia,768
1987,8,Y,Auburn,Tigers,AUB,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,Auburn,37
1987,8,W,Navy,Midshipmen,NAVY,3b088563-ca8a-49a6-9e19-5e4cb186ae1d,Navy,726
1987,8,Z,Georgia,Bulldogs,UGA,4f4b0771-994c-4126-822d-7525aaa00f65,Georgia,257
1987,8,X,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334
1987,9,Z,Kansas State,Wildcats,KSU,d203f38a-a166-4258-bca2-e161b591ecfb,Kansas St.,327
1987,9,W,Michigan,Wolverines,MICH,bdc2561d-f603-4fab-a262-f1d2af462277,Michigan,418
1987,9,X,Ohio State,Buckeyes,OSU,857462b3-0ab6-4d26-9669-10ca354e382b,Ohio St.,518
1987,9,Y,San Diego,Toreros,USD,620d5944-7156-47d3-aad5-5b3824557d03,San Diego,627
1987,10,Z,Arizona,Wildcats,ARIZ,9b166a3f-e64b-4825-bb6b-92c6f0418263,Arizona,29
1987,10,X,BYU,Cougars,BYU,c31455b2-8a45-4248-aa8f-ce7eab1c6b02,BYU,77
1987,10,Y,LSU,Tigers,LSU,70e2bedd-3a0a-479c-ac99-e3f58aa6824b,LSU,365
1987,10,W,Western Kentucky,Hilltoppers,WKU,881380da-861c-4ab6-a7d2-20699d8ea883,Western Ky.,772
1987,11,W,North Carolina State,Wolfpack,NCST,52df1e19-b142-4a76-a439-ad68455d0581,NC State,490
1987,11,Z,Tulsa,Golden Hurricane,TLSA,2959bd24-7007-41ae-a3a3-abdf26888cfc,Tulsa,719
1987,11,X,UAB,Blazers,UAB,63a8fdcf-b51b-4de3-8a57-2a6e41d362ce,UAB,9
1987,11,Y,Wichita State,Shockers,WICH,f38b58de-3273-4723-a78b-2f918e9aa2d5,Wichita St.,782
1987,12,X,Houston,Cougars,HOU,1f99a164-d593-4d81-85d5-0d7889d6f486,Houston,288
1987,12,W,Middle Tennessee,Blue Raiders,MTU,3d2f0819-8f3b-4ff3-afd6-6227c469a751,Middle Tenn.,419
1987,12,Y,Texas A&M,Aggies,TXAM,ef184799-d79b-49d9-a662-991eaf4044cd,Texas A&M,697
1987,12,Z,Wyoming,Cowboys,WYO,a7127c0a-a466-47ae-91ad-9a71ee2c9427,Wyoming,811
1987,13,Z,Central Michigan,Chippewas,CMU,472c22e0-843d-472c-a871-f1593fb0725d,Central Mich.,129
1987,13,X,Missouri State,Bears,MOSU,b83de2df-328f-4303-9895-cdff048fb1ed,Missouri St.,669
1987,13,W,Marshall,Thundering Herd,MRSH,58d8baa3-7624-4b21-a47f-a23df2bf8859,Marshall,388
1987,13,Y,Xavier,Musketeers,XAV,0d8a328f-20ce-410b-bed1-15fc01308aaf,Xavier,812
1987,14,Y,Louisiana Tech,Bulldogs,LT,8ff733a9-9f93-46de-ba7e-cf6f7e429670,Louisiana Tech,366
1987,14,Z,Marist,Red Foxes,MRST,15d31915-fbd6-4ae3-8e4b-f3b563c56a18,Marist,386
1987,14,W,Northeastern,Huskies,NE,93df9b18-e9fc-42a7-bb45-a736c203b4dc,Northeastern,500
1987,14,X,Austin Peay,Governors,PEAY,a0fdb660-a822-4337-b01d-31c4d2c99c8a,Austin Peay,43
1987,15,W,Georgia Southern,Eagles,GASO,6b955b96-b736-475e-bffd-e4acf2054169,Ga. Southern,253
1987,15,X,North Carolina A&T,Aggies,NCAT,53aaac6a-796e-41a6-a04e-6ce74c5717f8,N.C. A&T,488
1987,15,Z,Santa Clara,Broncos,SCU,28023973-1d9d-4d01-b939-dc8f9b44fb1c,Santa Clara,631
1987,15,Y,Southern University,Jaguars,SOU,a3b13d27-ec14-4a7d-88a2-0bc9f7b58984,Southern U.,665
1987,16,X,Bucknell,Bison,BUCK,98d2123a-c7b9-4b5f-8a81-43f76d8537dc,Bucknell,83
1987,16,Y,Fairfield,Stags,FAIR,a381465b-4530-4a00-a50c-5253cd7695a0,Fairfield,220
1987,16,Z,Idaho State,Bengals,IDST,6a67ba19-56a8-4dd8-a5ae-9e9f2523c274,Idaho St.,294
1987,16,W,Pennsylvania,Quakers,PENN,e6c94452-1adf-4fb9-90e5-10f165c57c5a,Penn,540
1988,1,Z,Arizona,Wildcats,ARIZ,9b166a3f-e64b-4825-bb6b-92c6f0418263,Arizona,29
1988,1,Y,Oklahoma,Sooners,OKLA,b2fda957-e15c-4fb2-8a13-6e58496f561e,Oklahoma,522
1988,1,X,Purdue,Boilermakers,PUR,12d7f888-675b-459f-9099-a38f771d8a95,Purdue,559
1988,1,W,Temple,Owls,TEM,8598d1b6-106b-4083-a512-2e495729525a,Temple,690
1988,2,W,Duke,Blue Devils,DUKE,faeb1160-5d15-4f26-99fc-c441cf21fc7f,Duke,193
1988,2,X,Pittsburgh,Panthers,PITT,24051034-96bb-4f78-a3a6-312f3258780f,Pittsburgh,545
1988,2,Y,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334
1988,2,Z,North Carolina,Tar Heels,UNC,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,North Carolina,457
1988,3,Y,Illinois,Fighting Illini,ILL,150148c2-ca8f-414f-8f41-d94a55d4a122,Illinois,301
1988,3,Z,Michigan,Wolverines,MICH,bdc2561d-f603-4fab-a262-f1d2af462277,Michigan,418
1988,3,X,North Carolina State,Wolfpack,NCST,52df1e19-b142-4a76-a439-ad68455d0581,NC State,490
1988,3,W,Syracuse,Orange,SYR,8cd24de1-2be8-4b77-bcfa-47be0495a5f4,Syracuse,688
1988,4,Y,BYU,Cougars,BYU,c31455b2-8a45-4248-aa8f-ce7eab1c6b02,BYU,77
1988,4,W,Indiana,Hoosiers,IND,c3f0a8ce-af67-497f-a750-3b859376b20a,Indiana,306
1988,4,X,Kansas State,Wildcats,KSU,d203f38a-a166-4258-bca2-e161b591ecfb,Kansas St.,327
1988,4,Z,UNLV,Rebels,UNLV,68a3227f-677f-43b0-9a3a-cad79d0df9e2,UNLV,465
1988,5,X,DePaul,Blue Demons,DEP,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,DePaul,176
1988,5,W,Georgia Tech,Yellow Jackets,GT,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,Georgia Tech,255
1988,5,Z,Iowa,Hawkeyes,IOWA,c10544de-e3bd-4776-ba2e-83df8c017fd1,Iowa,312
1988,5,Y,Louisville,Cardinals,LOU,b795ddbc-baab-4499-8803-52e8608520ab,Louisville,367
1988,6,Z,Florida,Gators,FLA,912f8837-1d81-4ef9-a576-a21f271d4c64,Florida,235
1988,6,X,Kansas,Jayhawks,KU,fae4855b-1b64-4b40-a632-9ed345e1e952,Kansas,328
1988,6,W,Missouri,Tigers,MIZZ,77ca152a-cb2f-48a5-97b2-492351250d94,Missouri,434
1988,6,Y,Villanova,Wildcats,VILL,4383eb6a-7fd8-4ff2-94c5-43c933121e88,Villanova,739
1988,7,Y,Maryland,Terrapins,MD,2778d005-cc14-4e58-9bf2-3fc37bffb62f,Maryland,392
1988,7,W,SMU,Mustangs,SMU,3f4515ea-4472-46b9-ac9e-16d7d8f22a38,SMU,663
1988,7,X,Vanderbilt,Commodores,VAN,72971b77-1d35-40b3-bb63-4c5b29f3d22b,Vanderbilt,736
1988,7,Z,Wyoming,Cowboys,WYO,a7127c0a-a466-47ae-91ad-9a71ee2c9427,Wyoming,811
1988,8,Y,Auburn,Tigers,AUB,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,Auburn,37
1988,8,X,Baylor,Bears,BAY,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Baylor,51
1988,8,W,Georgetown,Hoyas,GTWN,8736b67f-5924-400b-bf94-3bd804c36600,Georgetown,251
1988,8,Z,Seton Hall,Pirates,HALL,aef5e386-d8e8-460c-8014-3a2f090fd988,Seton Hall,635
1988,9,Y,Bradley,Braves,BRAD,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Bradley,72
1988,9,W,LSU,Tigers,LSU,70e2bedd-3a0a-479c-ac99-e3f58aa6824b,LSU,365
1988,9,X,Memphis,Tigers,MEM,1551b3a0-6d10-4ffa-8dfa-73b56f004553,Memphis,404
1988,9,Z,UTEP,Miners,UTEP,06d15d35-4955-4fdd-83d9-32d24dbd795b,UTEP,704
1988,10,Z,Loyola Marymount,Lions,LMU,441a11b4-b506-45b3-8030-fe72a4381c40,Loyola Marymount,370
1988,10,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513
1988,10,Y,UC Santa Barbara,Gauchos,UCSB,3b6293f3-03db-46d2-8793-248963c2d83b,UC Santa Barbara,104
1988,10,X,Utah State,Aggies,USU,7672ff16-8436-47e6-8546-0fb5494ec7ee,Utah St.,731
1988,11,Y,Arkansas,Razorbacks,ARK,c70c23c4-ab09-4797-a1af-792c848ab17f,Arkansas,31
1988,11,Z,St. John's,Red Storm,SJU,c1f4aae1-aa16-4095-aeab-10e5c2a1236a,St. John's (NY),603
1988,11,W,Rhode Island,Rams,URI,7e42bca2-3cd7-4aca-aa46-f190fe5d8eb4,Rhode Island,572
1988,11,X,Xavier,Musketeers,XAV,0d8a328f-20ce-410b-bed1-15fc01308aaf,Xavier,812
1988,12,Z,Florida State,Seminoles,FSU,d3c8a767-b6fc-45d4-a5f2-18406f2993f1,Florida St.,234
1988,12,W,Iowa State,Cyclones,ISU,0e4258fa-3154-4c16-b693-adecab184c6c,Iowa St.,311
